ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
13301,LA CARBONERA,LA MAGDALENA CONTRERAS,19.29955,-99.25722,1,Postes_C5
13302,PUEBLO NUEVO BAJO,LA MAGDALENA CONTRERAS,19.30272,-99.24877,1,Postes_C5
13303,PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,19.30381,-99.25141,1,Postes_C5
13304,SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,19.31516,-99.25432,1,Postes_C5
13305,EL OCOTAL,LA MAGDALENA CONTRERAS,19.29866,-99.26132,1,Postes_C5
13306,LA MALINCHE,LA MAGDALENA CONTRERAS,19.32471,-99.24171,1,Postes_C5
13307,SAN FRANCISCO 2417,LA MAGDALENA CONTRERAS,19.31452,-99.23265,1,Postes_C5
13308,SAN FRANCISCO 2416,LA MAGDALENA CONTRERAS,19.31086,-99.23616,1,Postes_C5
13309,HEROES DE PADIERNA,LA MAGDALENA CONTRERAS,19.31600,-99.22115,1,Postes_C5
13310,SAN FRANCISCO 2417,LA MAGDALENA CONTRERAS,19.31326,-99.23018,1,Postes_C5
13311,SAN FRANCISCO 2417,LA MAGDALENA CONTRERAS,19.31686,-99.23041,1,Postes_C5
13312,SAN JERONIMO ACULCO,LA MAGDALENA CONTRERAS,19.31544,-99.22517,1,Postes_C5
13313,SAN JERONIMO ACULCO,LA MAGDALENA CONTRERAS,19.31842,-99.22698,1,Postes_C5
13314,SAN ANTONIO,IZTAPALAPA,19.31031,-99.07237,1,Postes_C5
13315,SAN JERONIMO ACULCO,LA MAGDALENA CONTRERAS,19.31696,-99.22629,1,Postes_C5
13316,SAN JERONIMO ACULCO,LA MAGDALENA CONTRERAS,19.31963,-99.22769,1,Postes_C5
13317,CUAUHTEMOC,LA MAGDALENA CONTRERAS,19.31843,-99.24430,1,Postes_C5
13318,SAN JERONIMO LIDICE,LA MAGDALENA CONTRERAS,19.32769,-99.22635,1,Postes_C5
13319,SAN JERONIMO ACULCO,LA MAGDALENA CONTRERAS,19.32036,-99.22521,1,Postes_C5
13320,SAN JERONIMO LIDICE,LA MAGDALENA CONTRERAS,19.32055,-99.22944,1,Postes_C5
13321,SAN JERONIMO ACULCO,LA MAGDALENA CONTRERAS,19.32276,-99.22317,1,Postes_C5
